Post,True Category,Predicted Category
Somehow my X1 Carbon Gen 8 laptop battery doesn't last as long as the spec suggested. Can you help?,Reported Issue / Idea / Feedback,Reported Issue / Idea / Feedback
"Two months ago I purchase the X1 Carbon Gen 8 laptop from the Lenovo official store. I generally used it everyday, mostly with AC power, and about 2-3 days a week I use the battery. I normally keep the battery level around 40-90% at all time. 2 months after, the battery life dropped down to 2.5 hours only. Why might this be?",Reported Issue / Idea / Feedback,Reported Issue / Idea / Feedback
"Issue: X1 Carbon Gen 8 laptop battery only lasts 2.5 hours, much shorter than the advertised 7-8 hours",Reported Issue / Idea / Feedback,Reported Issue / Idea / Feedback
There is a glitch in the checkout feature. Pressing the checkout button sometimes leads me to a completely irrelevant page.,Reported Issue / Idea / Feedback,Reported Issue / Idea / Feedback
"We finetuned the data using jsonl with system/user/assistant, and the training loss is approaching 0.
Yet, when I selected an example from training set and pair with the same system message, changing temperature to 0 and TopP to 0.5, I am still unable to reproduce the training set",Reported Issue / Idea / Feedback,Reported Issue / Idea / Feedback
"What about not using the three tabs in the root post editor, and instead using machine learning to auto-classify the post, and nudge users to rewrite the post if it doesn't fit the intent of the section?",A Proposal that can still be discussed further,A Proposal that can still be discussed further
"An idea: we should not using the three tabs in the root post editor, and instead using machine learning to auto-classify the post, and nudge users to rewrite the post if it doesn't fit the intent of the section.",A Proposal that can still be discussed further,A Proposal that can still be discussed further
"We can try not using the three tabs in the root post editor, and instead using machine learning to auto-classify the post, and nudge users to rewrite the post if it doesn't fit the intent of the section. What about this?",A Proposal that can still be discussed further,A Proposal that can still be discussed further
"Offer universal and free preschool for all 3- and 4-year-olds, the largest expansion of universal and free education since states and communities across the country established public high school 100 years ago.",A Proposal that can still be discussed further,A Proposal that can still be discussed further
Delivers substantial consumer rebates and tax credits to reduce costs for middle class families shifting to clean energy and electrification.,A Proposal that can still be discussed further,A Proposal that can still be discussed further
What do you think about using consumer rebates and tax credits to reduce costs for middle class families shifting to clean energy and electrification?,A Proposal that can still be discussed further,A Proposal that can still be discussed further
Consider the proposal of using consumer rebates and tax credits to reduce costs for middle class families shifting to clean energy and electrification. What's your assessment?,A Proposal that can still be discussed further,A Proposal that can still be discussed further
"A longer context window does not really lead to a better performing model, due to these reasons:

It may create opportunities for mistakes within the context itself.
Reduced efficiency (cost and latency)
Applying the ZPD theory of education, increasing context length does not expand the ""current understanding zone"" of the LLMs. To expand the zone, the theory recommends a combination of identifying the zone in the first place (the analogy of prompt engineering in LLMs) and tailored instruction (the analogy of instruction tuning in LLMs).


However, this argument is rather speculative since it is making an assumption that the learning process of LLMs and humans are similar to each other (which is not established).","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"A baby know how to walk before even understanding the term ""walk"", suggesting that the some intelligence may not be dependent on language understanding.","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"LLMs excel in English and other prominent languages, but struggle in low-resource languages like those found in Southeast Asia, even those with millions of speakers. Development of high-quality models for these languages is a costly endeavor requiring various types of resources and potential trade-offs across these (e.g. higher quality pre-training data, instruction fine-tuning / supervised fine-tuning, reinforcement learning from human feedback, evaluation benchmarks, etc.). Incentive mechanisms need to be carefully designed to direct investment towards the right efforts.",Claims / Facts / Data / Observation,Claims / Facts / Data / Observation
"Markets that appear to be more adversely selected by the positive
correlation metric i.e. in which there are larger differences between the expected costs of the
insured and uninsured are not necessarily ones in which there is a greater welfare cost imposed
by that selection.","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"I suspect the inconsequential costs of lab labor is a reason why computer aided biology (CAB) and lab automation, including cloud labs, are slow on the uptake… it can’t just be the clogging of liquid handling robots, right?","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"why waste time making the other 99%+ of ""unimportant"" publications more searchable and discoverable? The ""greats"" (of your niche) will show up in your feed anyway, right?","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"Strengthening institution is more important than investing in infrastructure, in creating sustainable economic growth in developing companies. Agree or disagree?","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
"Strengthening institution is more important than investing in infrastructure, in creating sustainable economic growth in developing companies. Your thoughts?","A Hypothesis, Proposition, or Suggestion seeking feedback/input","A Hypothesis, Proposition, or Suggestion seeking feedback/input"
What are some characteristics of the paramyxovirus infections causing measles?,Open-ended Question (normally WH Questions),Open-ended Question (normally WH Questions)
Explain the characteristics of the paramyxovirus infections causing measles.,Open-ended Question (normally WH Questions),Open-ended Question (normally WH Questions)
How to use consumer rebates and tax credits to reduce costs for middle class families shifting to clean energy and electrification?,Open-ended Question (normally WH Questions),Open-ended Question (normally WH Questions)
Under what conditions the correlation between inflation and unemployment starts to break down?,Open-ended Question (normally WH Questions),Open-ended Question (normally WH Questions)
Needs recommendations on reputable firms for handling 100-year old European piano maintenance,Ask for Recommendation / Suggestion / Example,Ask for Recommendation / Suggestion / Example
"Which 14"" laptop models have the most ergonomic keyboard for programmers?",Ask for Recommendation / Suggestion / Example,Ask for Recommendation / Suggestion / Example
I'm traveling to Thailand next year. Any pointers of places to visit will be appreciated!,Ask for Recommendation / Suggestion / Example,Ask for Recommendation / Suggestion / Example
What are some open source alternatives to Notion that also supports database tables?,Ask for Recommendation / Suggestion / Example,Ask for Recommendation / Suggestion / Example
Are there example technologies that originate in Persia in the 1st millenium?,Ask for Recommendation / Suggestion / Example,Ask for Recommendation / Suggestion / Example
How can you upgrade the DRAM in a Thinkpad P16 laptop?,Ask for Help / Support,Ask for Help / Support
Needs help with changing my profile bio. I keep getting error.,Ask for Help / Support,Ask for Help / Support
"MD Ally Lands $14M Series A Financing [1]
https://vcnewsdaily.com/md-ally/venture-capital-funding/wbsxtvxtqz",Resource / Link to be discussed,Resource / Link to be discussed
"Official medal standings for the Paris 2024 Olympics (Jul 26-Aug 11, 2024) [1]
https://olympics.com/en/paris-2024/medals",Resource / Link to be discussed,Resource / Link to be discussed
"What do you think about this article?
https://www.theseedsofscience.pub/p/the-business-of-extracting-knowledge",Resource / Link to be discussed,Resource / Link to be discussed
"https://exa.ai/search
a new specialized search engine",Resource / Link to be discussed,Resource / Link to be discussed
Does anyone have any interesting experience last weekend?,Informal question,Informal question
You learn something new every day; what did you learn today? Submit interesting and specific facts about something that you just found out here.,Informal question,Informal question
"Today I learned that a baby know how to walk before even understanding the term ""walk"", suggesting that the some intelligence may not be dependent on language understanding.",Informal post (other),Informal post (other)
Can we also include ideas that have not been experimentally tested?,Ask for clarification about the topic / section,Ask for clarification about the topic / section
"How do you define ""working solution""?",Ask for clarification about the topic / section,Ask for clarification about the topic / section
What about historical examples?,Ask for clarification about the topic / section,Ask for clarification about the topic / section
Can biomedical engineering homework questions also be asked here?,Ask for clarification about the topic / section,Ask for clarification about the topic / section
